id,Rede,Nome,Nome.1,Localizado em,Endereço,Bairro,CEP,Tipo,Latitude,Longitude
Faculdade_10.098.019,Privada,Faculdade de Educação Paulistana,Unidade Sede,Rua,"R Tito, 1175",Vila Ipojuca,"[4877190, 2323180, 2162100, 5205130, 5271100, 8022310, 8062270, 3168080, 3803030, 4256000, 2618100, 4285130, 4361040, 5051000, 5051001, 5051900]",Faculdade,-23.779579,-45.358564
Faculdade_10.098.020,Privada,Faculdade Armando Alvares Penteado,Unidade Sede,Rua,"Rua Alagoas, 903",Pacaembu,[1242902],Faculdade,-21.566348,-51.252704
Faculdade_10.098.021,Privada,Faculdade de Tecnologia Finaci,Unidade Brigadeiro,Rua,"Av Brigadeiro Luís Antônio, 2867",Paraíso,"[1317000, 1317001, 1317002, 1317901, 1317902, 1317903, 1317904, 1317905, 1317906, 1317907, 1317909, 1317910, 1317911, 1318000, 1318001, 1318002, 1318900, 1318901, 1318902, 1318903, 1318904, 1318905, 1318906, 1318907, 1318908, 1318909, 1318910, 1318912, 1318970, 1318999, 1401000, 1401001, 1401002, 1401900, 1401901, 1401902, 1401903, 1401904, 1401970, 1401971, 1401999, 1402000, 1402001, 1402002, 1402900, 1402901, 1402971]",Faculdade,-23.571771,-46.652796
Faculdade_10.098.022,Privada,Universidade Cruzeiro do Sul,Polo Sp_liberdade,Rua,"R Galvão Bueno, 868",Liberdade/São Joaquim,"[1506000, 1506900]",Faculdade,-23.563023,-46.635239
Faculdade_10.098.023,Privada,Universidade Cruzeiro do Sul,Polo Sp_sao Miguel Paulista (sede),Rua,"Av Doutor Ussiel Cirilo, 225",Vila Jacuí,[8060070],Faculdade,-23.499537,-46.452693
Faculdade_10.198.429,Privada,Centro Universitário das Faculdades Metropolitanas Unidas - Fmu,Fmu - Liberdade - Casa Metropolitana,Rua,Av Liberdade 749,,01503-001,Faculdade,-22.424873,-46.826882
Faculdade_10.198.464,Privada,Centro Universitário das Faculdades Metropolitanas Unidas - Fmu,Fmu - Ponte Estaiada / Hovet,Rua,R Ministro Nelson Hungria 541,Real Parque,05690-050,Faculdade,-23.57005,-46.825742
Faculdade_10.198.475,Privada,Faculdade Paulista de Ciências da Saúde - Fpcs,Faculdade Paulisra de Ciências da Saúde,Rua,Av Brigadeiro Luís Antônio 3751,Parque Ibirapuera,01401-001,Faculdade,-23.57736,-46.658947
Faculdade_10.198.478,Privada,Faculdade de Educação em Ciências da Saúde - Fecs,Campus Sede,Rua,Av Paulista 500,Bela Vista,01310-000,Faculdade,-23.567793,-46.648055
Faculdade_10.198.498,Privada,Faculdades Integradas Rio Branco - Frb,Campus - São Paulo - Vila Guilherme,Rua,R Maria Cândida 1813,Vila Isolina Mazzei,02071-013,Faculdade,-23.507701,-46.598435
Faculdade_10.198.500,Privada,Universidade Brasil - Ub,Campus São Paulo,Rua,R Ibipetuba 130,Alto Da Mooca,03127-180,Faculdade,-23.559821,-46.597112
Faculdade_10.198.505,Privada,Faculdade Ana Carolina Puga - Fapuga,Campus Principal,Rua,R Padre Estevão Pernet 398/402,Tatuapé,03315-000,Faculdade,-23.541976,-46.567235
Faculdade_10.198.515,Privada,Faculdade Interativa de São Paulo - Faisp,Faculdade Interativa de São Paulo - Faisp (nova Sede),Rua,R Heloísa Penteado 327,Vila Esperança,03649-010,Faculdade,-23.524116,-46.521987
Faculdade_10.198.519,Privada,Faculdade Van Gogh - Fvg,Fvg,Rua,R Bento Quirino 467,Vila Matilde,03534-010,Faculdade,-23.544365,-46.509567
Faculdade_10.198.520,Privada,Centro Universitário Carlos Drummond de Andrade - Unidrummond,Arena Corinthians,Rua,Av Miguel Ignácio Curi 111,Itaquera,08295-005,Faculdade,-23.545324,-46.475118
Faculdade_10.257.767,Privada,Fiam-Faam - Centro Universitário,Fiam-Faam - Liberdade,Rua,Rua Taguá 150 Fiam-Faam - Liberdade,Liberdade/São Joaquim,01508-010,Faculdade,-23.566079,-46.632382
Faculdade_10.257.820,Privada,Faculdade Paschoal Dantas,Unidade Sede,Rua,Avenida Afonso De Sampaio E Sousa 495,Parque Do Carmo,08270-000,Faculdade,-23.566615,-46.4674
Faculdade_10.257.869,Privada,Faculdade Méliès,Sede,Rua,Avenida Ibirapuera 2657 Polo Sede,Moema,04029-200,Faculdade,-23.596275,-46.66372
Faculdade_10.257.877,Privada,"Instituto Brasileiro De Ensino, Desenvolvimento E Pesquisa De São Paulo",Itapeva,Rua,"Rua Itapeva 538 Térreo, 1O, 2O E 3O Andar",Masp,01332-000,Faculdade,-23.519726,-46.754322
Faculdade_10.257.884,Privada,Faculdade De Ensino Superior Paschoal Dantas,Faculdade De Ensino Superior Paschoal Dantas,Rua,Avenida Presidente Kennedy 4285 Central,Mooca,08041-000,Faculdade,-23.559821,-46.597112
Faculdade_10.257.923,Privada,Faculdade Integração,Campus Principal,Rua,Rua Manuel Guedes 504,Chácara Itaim,0453-607,Faculdade,-23.58495,-46.679159
Faculdade_10.257.976,Privada,Faculdade Anclivepa De Gestão E Humanologia,Faculdade Zona Leste,Rua,Rua Ulisses Cruz 285 Faculdade Zona Leste,Parque Belém,03077-000,Faculdade,-23.532604,-46.584038
Faculdade_10.257.993,Privada,Faculdade Cetrus,Campus Principal,Rua,Avenida Jabaquara 474 - Até 0620 - Lado Par,Mirandópolis,04046-000,Faculdade,-23.608255,-46.638213
Faculdade_10.258.009,Privada,Link School Of Business,Bravia Educação,Rua,Avenida Brigadeiro Luís Antônio 4980 - De 4100 Ao Fim - Lado Par,Jardins,01402-002,Faculdade,-21.55164,-47.702879
Faculdade_10.264.498,Privada,Centro Universitário Ítalo-Brasileiro,Sede - Santo Amaro,Rua,Avenida João Dias 2046,Ponte Transamérica,04724-003,Faculdade,-23.643688,-46.720555
Faculdade_10.264.501,Privada,Universidade Cruzeiro Do Sul,Campus Villa Lobos,Rua,"Avenida Imperatriz Leopoldina, 550",Ceasa,05305-000,Faculdade,-23.525441,-46.736543
Faculdade_10.264.509,Privada,Faculdade Paulista De Serviço Social,Unidade Sede,Rua,Rua Lopes Chaves 273 Unidade Sede,Marechal Deodoro,01154-010,Faculdade,-23.529141,-46.658133
Faculdade_10.264.510,Privada,Faculdade De Música Carlos Gomes,Sede,Rua,Rua Álvares Penteado 216 Sede,Parque Dom Pedro,01012-000,Faculdade,-23.546628,-46.634975
Faculdade_10.264.511,Privada,Faculdade De São Paulo,Sede Nova,Rua,Rua Álvares Penteado 216 Sede Nova,Parque Dom Pedro,01012-000,Faculdade,-23.546628,-46.634975
Faculdade_10.264.512,Privada,Universidade Cidade De São Paulo,Unicid - Campus Pinheiros,Rua,Rua Butantã 285,Pinheiros,05424-140,Faculdade,-23.570037,-46.697606
Faculdade_10.264.514,Privada,Universidade Anhanguera De São Paulo,Itaquera,Rua,Shopping Metrô Itaquera S/N Itaquera,,08220-900,Faculdade,-23.540748,-46.471045
Faculdade_10.264.569,Privada,Faculdade Integral Cantareira,Campus - São Paulo - Belenzinho,Rua,Rua Marcos Arruda 729,Catumbi,03020-000,Faculdade,-23.531896,-46.603846
Faculdade_10.264.608,Privada,Instituto Superior De Educação De São Paulo,Campus Principal,Rua,Rua Cincinato Braga 388 Campus Principal,Bela Vista,01333-010,Faculdade,-23.567658,-46.646504
Faculdade_10.264.622,Privada,Centro Universitário Unibta,Unidade Sede - Paulista,Rua,Av Paulista 2200,Trianon,01310-932,Faculdade,-23.557422,-46.660146
Faculdade_10.264.623,Privada,Faculdade De Educação E Tecnologia Iracema,Faeti,Rua,Rua Floriano Peixoto 753,Parada De Taipas,02883-090,Faculdade,-23.346954,-46.756122
Faculdade_10.385.776,Privada,Centro Universitário Estácio De São Paulo,Liberdade,Rua,Rua Da Glória 195		 Liberdade,,"[1510000, 1510001, 2169120]",Faculdade,-23.555046,-46.633729
Faculdade_10.385.777,Privada,Instituto De Tecnologia E Liderança,Sede Butantã,Rua,Instituto de Pesquisas Tecnológicas 532,,[],Faculdade,53.554264,9.960551
Faculdade_10.385.778,Privada,Faculdade Da Associação Médica Paulista,Campus Principal,Rua,"Av Brigadeiro Luiz Antonio, 278",,[],Faculdade,-23.553274,-46.638176
Faculdade_10.385.908,Privada,Faculdade Campos Elíseos,Sede,Rua,Maria De Jesus Simões 167 Sede,Mandaqui,[2469010],Faculdade,-23.485828,-46.641456
Faculdade_10.385.910,Privada,Faculdade Campos Elíseos,Fce,Rua,Maria de Jesus Simões 167,Mandaqui,[2469010],Faculdade,-23.485828,-46.641456
Faculdade_10.385.912,Privada,Faculdade Ibra Da Grande São Paulo,Sede - Fagran,Rua,R João Martins 448,,"[2555140, 4235190, 2803070, 5540040, 8070330, 2535190, 4403330, 2255120]",Faculdade,-23.495433,-46.458121
Faculdade_10.385.913,Privada,Faculdade Alvorada De Saúde,Nova Sede,Rua,Rua Atílio Piffer 687 Nova Sede,Casa Verde,[2516000],Faculdade,-23.508445,-46.660192
Faculdade_10.385.914,Privada,Faculdade Ibra Da Grande São Paulo,Fav - São Paulo,Rua,R Barão de Tefé 247,Água Branca,[5003040],Faculdade,-23.528208,-46.675394
Faculdade_10.385.915,Privada,Faculdade Evangélica De São Paulo,Unidade Sede,Rua,Av Celso Garcia 2210,Belém,"[3014000, 3015000, 3015970, 3015971, 3017970, 3063000, 3063900, 3064000, 3064100, 3064970]",Faculdade,-23.536863,-46.590618
Faculdade_10.385.917,Privada,Faculdade Unida De São Paulo,Sede,Rua,Rua Serra De Botucatu 968 Sede,Tatuapé,"[3417000, 3317000, 3317001, 5352110]",Faculdade,-23.543032,-46.562476
Faculdade_10.385.918,Privada,Faculdade De Educação Paulistana,Itaquera,Rua,R São Gonçalo do Piauí 65 Itaquera,Itaquera,"[8295295, 8295400]",Faculdade,-23.547767,-46.459989
Faculdade_10.385.919,Privada,Faculdade Ipessp,Faculdade Instituto De Pesquisa E Educação Em Saúde De São Paulo - Fipessp,Rua,Rua Dona Antônia De Queirós 333 Faculdade Instituto De Pesquisa E Educação Em Saúde De São Paulo - Fipessp,Consolação,"[1307010, 1307011, 1307012, 1307013, 1307014]",Faculdade,,
Faculdade_10.385.920,Privada,Faculdade Educamais,Sede Conde Do Pinhal,Rua,Rua Conde Do Pinhal 80 Sede Conde Do Pinhal,Praça João Mendes,"[1501060, 1501905]",Faculdade,-22.109489,-49.070391
Faculdade_10.385.921,Privada,Faculdade Inova Mais De São Paulo,Sede Conde Do Pinhal,Rua,Rua Conde Do Pinhal 78 Sede Conde Do Pinhal,Praça João Mendes,"[1501060, 1501905]",Faculdade,-23.552139,-46.647198
Faculdade_10.385.922,Privada,Centro Universitário Das Faculdades Metropolitanas Unidas,Fmu - Liberdade / Brigadeiro - Prédio 43 E 44,Rua,Av Brigadeiro Luís Antônio 917,Bexiga,"[1317000, 1317001, 1317002, 1317901, 1317902, 1317903, 1317904, 1317905, 1317906, 1317907, 1317909, 1317910, 1317911, 1318000, 1318001, 1318002, 1318900, 1318901, 1318902, 1318903, 1318904, 1318905, 1318906, 1318907, 1318908, 1318909, 1318910, 1318912, 1318970, 1318999, 1401000, 1401001, 1401002, 1401900, 1401901, 1401902, 1401903, 1401904, 1401970, 1401971, 1401999, 1402000, 1402001, 1402002, 1402900, 1402901, 1402971]",Faculdade,-23.557747,-46.640972
Faculdade_10.385.923,Privada,Faculdade Paulista De Artes,Sede,Rua,Avenida Brigadeiro Luís Antônio 1200 Sede,Bexiga,"[1317000, 1317001, 1317002, 1317901, 1317902, 1317903, 1317904, 1317905, 1317906, 1317907, 1317909, 1317910, 1317911, 1318000, 1318001, 1318002, 1318900, 1318901, 1318902, 1318903, 1318904, 1318905, 1318906, 1318907, 1318908, 1318909, 1318910, 1318912, 1318970, 1318999, 1401000, 1401001, 1401002, 1401900, 1401901, 1401902, 1401903, 1401904, 1401970, 1401971, 1401999, 1402000, 1402001, 1402002, 1402900, 1402901, 1402971]",Faculdade,-23.559754,-46.642894
Faculdade_10.385.924,Privada,Faculdade Interativa De São Paulo,Faatesp - Bela Vista,Rua,Av Paulista 302/306,Bela Vista,"[1310000, 1310100, 1310200, 1310300, 1310900, 1310902, 1310903, 1310904, 1310905, 1310907, 1310908, 1310909, 1310910, 1310911, 1310913, 1310914, 1310915, 1310916, 1310917, 1310918, 1310919, 1310920, 1310921, 1310922, 1310923, 1310924, 1310925, 1310926, 1310927, 1310928, 1310929, 1310930, 1310931, 1310932, 1310933, 1310934, 1310935, 1310936, 1310937, 1310940, 1310941, 1310942, 1310945, 1311000, 1311100, 1311200, 1311300, 1311901, 1311902, 1311903, 1311904, 1311905, 1311906, 1311907, 1311908, 1311909, 1311910, 1311911, 1311912, 1311913, 1311914, 1311915, 1311916, 1311917, 1311918, 1311919, 1311920, 1311921, 1311922, 1311923, 1311924, 1311925, 1311926, 1311927, 1311928, 1311929, 1311930, 1311931, 1311932, 1311933, 1311934, 1311935, 1311936, 1311937, 1311940, 1311941]",Faculdade,-23.56329,-46.654118
Faculdade_10.385.925,Privada,Faculdade Evolução,Evolução,Rua,Rua Angá 938 Evolução,Vila Formosa,"[2844100, 3909120, 1247000, 4288040, 3360000, 4164010]",Faculdade,-23.569875,-46.540864
Faculdade_10.385.926,Privada,Universidade Cruzeiro Do Sul,Polo Sp_Pinheiros,Rua,R Butantã 285,Pinheiros,"[5424000, 5424140, 5424905, 5424970, 5424999]",Faculdade,-23.570037,-46.697606
Faculdade_10.385.927,Privada,Faculdade Paulista De Ciências Da Saúde,Faculdade Paulisra De Ciências Da Saúde,Rua,Av Brigadeiro Luís Antônio 3751,Parque Ibirapuera,"[1317000, 1317001, 1317002, 1317901, 1317902, 1317903, 1317904, 1317905, 1317906, 1317907, 1317909, 1317910, 1317911, 1318000, 1318001, 1318002, 1318900, 1318901, 1318902, 1318903, 1318904, 1318905, 1318906, 1318907, 1318908, 1318909, 1318910, 1318912, 1318970, 1318999, 1401000, 1401001, 1401002, 1401900, 1401901, 1401902, 1401903, 1401904, 1401970, 1401971, 1401999, 1402000, 1402001, 1402002, 1402900, 1402901, 1402971]",Faculdade,-23.57736,-46.658947
Faculdade_10.385.928,Privada,Centro Universitário Belas Artes De São Paulo,Campus Paraíso,Rua,Rua Estela 64 Campus Paraíso,,"[4841000, 5415070, 2246060, 4011000, 4011001, 4011002, 4011902, 4011903, 4011904, 4011907, 4128040]",Faculdade,-21.018742,-48.77491
Faculdade_10.385.930,Privada,Centro Universitário Belas Artes De São Paulo,Unidade Educacional Na Sede,Rua,R José Antonio Coelho 879,Vila Mariana,"[4011060, 4011061, 4011062, 4011900, 4011901, 4011906]",Faculdade,-23.581632,-46.64852
Faculdade_10.385.931,Privada,Faculdade Cta,Sede,Rua,R Antônio Marcondes 285,,"[4883210, 4267020]",Faculdade,-23.458078,-46.427612
Faculdade_10.385.932,Privada,Centro Universitário Belas Artes De São Paulo,Campus Shopping Cidade Jardim,Rua,Av Magalhães de Castro 12000,Real Parque,[5676900],Faculdade,-23.02823,-45.573358
Faculdade_10.385.933,Privada,Faculdade Israelita De Ciências Da Saúde Albert Einstein,Centro De Ensino E Pesquisa Campos Cecília E Abram Sjazman,Rua,R Comendador Elias Jafet 755,Fazenda Morumbi,[5653000],Faculdade,-23.602026,-46.714825
Faculdade_10.385.934,Privada,Trevisan Escola Superior De Negócios,Trevisan - Polo,Rua,Av das Nações Unidas 14261,Chácara Santo Antônio,"[4578000, 4578900, 4578901, 4578903, 4578906, 4578907, 4578908, 4578910, 4578911, 4533085, 4757025, 5307085, 4753100, 5477000, 5477900, 5477902, 5477903, 4696005, 5425070, 5425902, 5425903, 5425904, 5425905, 4730090, 4795000, 4795100, 4795900, 4795901, 4795902, 4795904, 4795905, 4795906, 4795907, 4795910, 4795911, 4795912, 4795913, 4795914, 4795915, 4795916, 4795917, 4795920, 4795921, 4795922, 4795923, 4795924, 4795925, 4795970, 4795999, 4583105, 4794000, 4794904, 4794905, 5310000]",Faculdade,-23.5247,-46.758439
Faculdade_10.385.936,Privada,Faculdade União Paulistana,Faculdade União Paulistana,Rua,Rua Barão Do Rio Branco 864 Faculdade União Paulistana,Ponte Transamérica,"[4717970, 4753000, 4753001, 4753905]",Faculdade,-23.647849,-46.709989
Faculdade_10.385.942,Privada,Instituto De Educação Superior E Inovação Invenio,Campus Principal,Rua,Rua José Vieira Martins 270,Mar Paulista,[4466025],Faculdade,-23.691743,-46.65683
