id,Rede,Nome,Localizado em,Endereço,Bairro,CEP,Tipo,Latitude,Longitude
Fast Food_10314145,Madero Express,Madero Burger Aeroporto de Congonhas,Rua,"Av Washington Luís, S/N",Vila Congonhas,04626-911,Fast Food,-23.552139,-46.647198
Fast Food_10396576,Madero Express,Madero Burger Quatá,Rua,"R Quatá, 662",Vila Olímpia,04546-044,Fast Food,-20.738465,-48.913529
Fast Food_10396577,Madero Express,Madero Burger Vila Mariana,Rua,"Av Conselheiro Rodrigues Alves, 379",Vila Mariana,04014-011,Fast Food,-23.58392,-46.641587
Fast Food_10983161,Subway,Subway,Rua,Av. Sílvio Ribeiro Aragão,Av. Sílvio Ribeiro Aragão,05776-510,Fast Food,-23.639852,-46.748872
Fast Food_10983174,Mcdonald´s,Mcdonalds,Rua,R. Domingos de Morais,Vila Mariana,04036-000,Fast Food,-23.591979,-46.636388
Fast Food_10983180,Burger King,Burger King,Rua,R. Cap. Pacheco e Chaves,Vila Prudente,03126-000,Fast Food,-23.581888,-46.59098
Fast Food_10983188,Gendai,Gendai,Rua,Avenida Roque Petroni Júnior,Chácara Santo Antônio (zona Sul),04707-000,Fast Food,-23.618596,-46.573278
Fast Food_10983192,Mcdonald´s,Mcdonalds,Rua,Av. Guarapiranga,Vila Socorro,04762-001,Fast Food,-23.684528,-46.709286
Fast Food_10983206,Pizza Prime,Pizza Prime Vila Matilde SP,Rua,R. Dr. José Paulo,Vila Matilde,03509-040,Fast Food,-23.536361,-46.526402
Fast Food_10983225,Pizza Hut,Pizza Hut Shopping SP Market Pizzaria Sobremesas Bebidas Sao Paulo,Rua,Av. das Nações Unidas,Jurubatuba,04295-030,Fast Food,-23.5247,-46.758439
Fast Food_10983288,Popeyes Louisiana Kitchen,Popeyes Louisiana Kitchen,Rua,Av. Raimundo Pereira de Magalhães,Parada de Taipas,02984-035,Fast Food,-23.460084,-46.720966
Fast Food_10983292,Mcdonald´s,Mcdonalds,Rua,Av. Benedito Andrade,Pirituba,02936-000,Fast Food,-23.487658,-46.717399
Fast Food_10983297,Subway,Subway,Rua,Av. Itingussu,Vila Gomes Cardim,03317-001,Fast Food,-23.338909,-47.675531
Fast Food_10983302,Giraffas,Giraffas Shopping Light,Rua,R. Cel. Xavier de Toledo,República,01048-000,Fast Food,-23.546962,-46.639446
Fast Food_10983323,Pizza Hut,Pizza Hut Butanta Pizzaria Delivery em Sao Paulo SP,Rua,Av. Prof. Francisco Morato,Butantã,05512-000,Fast Food,-23.588592,-46.728142
Fast Food_10983358,Gendai,Gendai,Rua,R. Gonçalves Crespo,Tatuapé,03066-030,Fast Food,-23.538553,-46.575115
Fast Food_10983414,Baked Potato,Baked Potato,Rua,Rua Domingos Agostim,Cidade Mãe do Céu,03306-010,Fast Food,-23.54217,-46.576181
Fast Food_10983421,Spoleto,Spoleto,Rua,Av. Leão Machado,Jaguaré,05328-020,Fast Food,-23.548148,-46.756859
Fast Food_10983432,Burger King,Burger King,Rua,R. Conselheiro Moreira de Barros,Santana,02018-017,Fast Food,-23.486639,-46.63908
Fast Food_10983466,Mcdonald´s,Mcdonalds,Rua,Av. Alcides Sangirardi,Cidade Jardim,05672-015,Fast Food,-23.592227,-46.694795
Fast Food_10983474,Mcdonald´s,Mcdonalds,Rua,Av. Braz Leme,Santana,02022-020,Fast Food,-23.505859,-46.642394
Fast Food_10983505,Frango No Pote,Frango no Pote,Rua,R. Serra de Bragança,Tatuapé,03318-000,Fast Food,-23.544547,-46.566234
Fast Food_10983513,Pizza Prime,Pizza Prime Pompeia,Rua,Av. Pompéia,Pompeia,05022-001,Fast Food,-22.750579,-47.621006
Fast Food_10983537,Kfc,Kfc Shopping Eldorado,Rua,Av Rebouças,Pinheiros,05402-600,Fast Food,-23.565711,-46.680791
Fast Food_10983587,Burger King,Burger King Drive Thru,Rua,Av. Alcântara Machado,Brás,03102-004,Fast Food,-23.54843,-46.6036
Fast Food_10983609,Spoleto,Spoleto,Rua,R. Olimpíadas,Vila Olímpia,04551-000,Fast Food,-20.738465,-48.913529
Fast Food_10983633,Kfc,Kfc,Rua,Av. Dr. Antônio Maria Laet,Tucuruvi,02240-000,Fast Food,-23.47434,-46.599367
Fast Food_10983641,Popeyes Louisiana Kitchen,Popeyes Louisiana Kitchen,Rua,Av. José Pinheiro Borges,Itaquera,08220-900,Fast Food,-23.531539,-46.430047
Fast Food_10983647,Burger King,Burger King,Rua,Av. Reg. Feijó,Vila Reg. Feijó,03342-000,Fast Food,-23.779579,-45.358564
Fast Food_10983661,Habib´s,Habibs,Rua,Av. Sapopemba,Jardim Sapopemba,03989-010,Fast Food,-23.599089,-46.515439
Fast Food_10983703,Kfc,Kfc,Rua,Av. Francisco Matarazzo,Água Branca,05003-100,Fast Food,-22.751938,-47.629119
Fast Food_10983728,Kfc,Kfc,Rua,Av. Roque Petroni Júnior,Vila Gertrudes,04707-900,Fast Food,-23.624571,-46.694184
Fast Food_10983735,Pizza Hut,Pizza Hut Perdizes Pizzaria Delivery em Sao Paulo SP,Rua,R. Cardoso de Almeida,Perdizes,05013-000,Fast Food,-23.540949,-46.670645
Fast Food_10983746,Mania de Churrasco,Mania de Churrasco Prime Steak Burger,Rua,Av. José Pinheiro Borges,Vila Campanela,08240-000,Fast Food,-23.779579,-45.358564
Fast Food_10983759,Mania de Churrasco,Mania de Churrasco Prime Steak Burger,Rua,R. Melo Freire,Tatuapé,03314-030,Fast Food,-23.538787,-46.567527
Fast Food_10983802,Mcdonald´s,Mcdonalds,Rua,Av. Brig. Faria Lima,Jardim Paulistano,01489-900,Fast Food,-23.652387,-46.533937
Fast Food_10983812,China In Box,,Rua,R. Jesuíno de Brito,Freguesia do Ó,02925-185,Fast Food,-23.502178,-46.698541
Fast Food_10983814,Giraffas,Giraffas,Rua,R. Domingos de Morais,Vila Mariana,04036-100,Fast Food,-23.591979,-46.636388
Fast Food_10983887,Spoleto,Spoleto,Rua,R. Domingos de Morais,Vila Mariana,04036-100,Fast Food,-23.591979,-46.636388
Fast Food_10983927,Kfc,Kfc,Rua,R. Gonçalves Crespo,Tatuapé,03066-030,Fast Food,-23.538553,-46.575115
Fast Food_10983933,Mania de Churrasco,Mania de Churrasco Prime Steak Burger,Rua,Av. Prof. Francisco Morato,Butantã,05512-300,Fast Food,-23.588592,-46.728142
